label,value,parent
2018,10505,FAMILY DISTURBANCE
2018,10500,BURGLARY OF VEHICLE
2019,10356,FAMILY DISTURBANCE
2020,10181,FAMILY DISTURBANCE
2019,9603,THEFT
2018,9109,THEFT
2020,7445,THEFT
2019,6128,ASSAULT W/INJURY-FAM/DATE VIOL
2020,5890,CRIMINAL MISCHIEF
2018,5701,ASSAULT W/INJURY-FAM/DATE VIOL
2020,5610,ASSAULT W/INJURY-FAM/DATE VIOL
2019,5530,CRIMINAL MISCHIEF
2018,4632,CRIMINAL MISCHIEF
2020,3846,AUTO THEFT
2018,3181,DISTURBANCE - OTHER
2019,3155,THEFT BY SHOPLIFTING
2018,2963,THEFT BY SHOPLIFTING
2019,2942,AUTO THEFT
2020,2888,HARASSMENT
2019,2794,DISTURBANCE - OTHER
2019,2792,HARASSMENT
2019,2745,ASSAULT BY CONTACT FAM/DATING
2020,2639,THEFT BY SHOPLIFTING
2018,2620,HARASSMENT
2020,2593,ASSAULT BY CONTACT FAM/DATING
2018,2591,DWI
2018,2570,ASSAULT BY CONTACT FAM/DATING
2020,2557,DISTURBANCE - OTHER
2019,2494,DWI
2018,2416,AUTO THEFT
2020,2365,BURGLARY NON RESIDENCE
2018,2216,BURGLARY OF RESIDENCE
2019,2041,POSS CONTROLLED SUB/NARCOTIC
2019,2007,BURGLARY OF RESIDENCE
2018,1998,POSSESSION OF MARIJUANA
2019,1941,BURGLARY NON RESIDENCE
2020,1898,DWI
2018,1894,POSS CONTROLLED SUB/NARCOTIC
2020,1877,CRIMINAL TRESPASS
2019,1871,CRIMINAL TRESPASS
2018,1800,RUNAWAY CHILD
2020,1799,IDENTITY THEFT
2019,1795,RUNAWAY CHILD
2020,1790,BURGLARY OF RESIDENCE
2020,1677,THEFT OF BICYCLE
2018,1629,BURGLARY NON RESIDENCE
2018,1590,CRIMINAL TRESPASS
2018,1571,PUBLIC INTOXICATION
2019,1518,FRAUD - OTHER
2020,1497,FRAUD - OTHER
2020,1478,AGG ASSAULT FAM/DATE VIOLENCE
2020,1474,ASSAULT BY THREAT
2019,1352,THEFT OF BICYCLE
2019,1321,ASSAULT BY THREAT
2018,1286,THEFT OF BICYCLE
2019,1283,POSSESSION OF MARIJUANA
2020,1281,MAIL THEFT
2020,1274,POSS CONTROLLED SUB/NARCOTIC
2019,1262,AGG ASSAULT FAM/DATE VIOLENCE
2020,1232,CHILD CUSTODY INTERFERE
2020,1189,SUSPICIOUS PERSON
2018,1169,ASSAULT BY THREAT
2020,1137,DATING DISTURBANCE
2020,1133,RUNAWAY CHILD
2019,1131,PUBLIC INTOXICATION
2018,1125,FRAUD - OTHER
2019,1099,DATING DISTURBANCE
2018,1093,AGG ASSAULT FAM/DATE VIOLENCE
2019,1082,IDENTITY THEFT
2018,1008,WARRANT ARREST NON TRAFFIC
2018,999,POSS OF DRUG PARAPHERNALIA
2018,998,IDENTITY THEFT
2019,964,CHILD CUSTODY INTERFERE
2018,949,DATING DISTURBANCE
2018,919,DEBIT CARD ABUSE
2019,906,TERRORISTIC THREAT
2020,903,TERRORISTIC THREAT
2019,888,POSS OF DRUG PARAPHERNALIA
2018,883,CRED CARD ABUSE - OTHER
2020,880,PUBLIC INTOXICATION
2018,862,TERRORISTIC THREAT
2020,856,THEFT OF LICENSE PLATE
2020,850,POSS OF DRUG PARAPHERNALIA
2019,843,CRASH/FAIL STOP AND RENDER AID
2019,838,WARRANT ARREST NON TRAFFIC
2019,812,DEBIT CARD ABUSE
2019,811,SUSPICIOUS PERSON
2018,797,CHILD CUSTODY INTERFERE
2019,781,THEFT FROM PERSON
2019,780,CRED CARD ABUSE - OTHER
2020,742,CRED CARD ABUSE - OTHER
2019,735,FAMILY DISTURBANCE/PARENTAL
2018,735,SUSPICIOUS PERSON
2020,673,POSSESSION OF MARIJUANA
2020,672,DEBIT CARD ABUSE
2019,664,THEFT OF LICENSE PLATE
2020,654,FAMILY DISTURBANCE/PARENTAL
2019,638,FORGERY AND PASSING
2020,634,AGG ROBBERY/DEADLY WEAPON
2018,614,AGG ASLT STRANGLE/SUFFOCATE
2019,605,THEFT OF SERVICE
2020,578,AGG ASLT STRANGLE/SUFFOCATE
2019,572,AGG ASLT STRANGLE/SUFFOCATE
2018,565,AGG ROBBERY/DEADLY WEAPON
2020,561,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT
2018,555,FAMILY DISTURBANCE/PARENTAL
2018,548,CUSTODY ARREST TRAFFIC WARR
2020,543,FORGERY AND PASSING
2020,537,THEFT CATALYTIC CONVERTER
2019,535,AGG ROBBERY/DEADLY WEAPON
2018,531,THEFT OF SERVICE
2020,522,CRASH/FAIL STOP AND RENDER AID
2018,518,THEFT OF LICENSE PLATE
2018,509,CRASH/FAIL STOP AND RENDER AID
2018,500,DWI 2ND
2019,497,DWI 2ND
2018,495,VIOL CITY ORDINANCE - OTHER
2018,464,FORGERY AND PASSING
2019,459,THEFT FROM AUTO
2018,456,THEFT FROM AUTO
2019,453,CUSTODY ARREST TRAFFIC WARR
2020,453,THEFT FROM AUTO
2018,449,THEFT FROM PERSON
2018,442,DWI  .15 BAC OR ABOVE
2020,429,THEFT OF SERVICE
2019,424,DWI  .15 BAC OR ABOVE
2019,394,VIOL OF PROTECTIVE ORDER
2020,376,VIOL OF PROTECTIVE ORDER
2020,373,CRIMINAL TRESPASS/TRANSIENT
2020,368,DWI 2ND
2018,367,VIOL OF PROTECTIVE ORDER
2019,354,ROBBERY BY ASSAULT
2019,345,THEFT FROM BUILDING
2018,335,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT
2020,335,ROBBERY BY ASSAULT
2020,334,THEFT FROM BUILDING
2019,333,BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT
2020,329,DWI  .15 BAC OR ABOVE
2019,329,VIOL CITY ORDINANCE - OTHER
2018,325,ROBBERY BY ASSAULT
2020,324,THEFT FROM PERSON
2020,312,DEADLY CONDUCT
2019,309,THEFT OF AUTO PARTS
2019,309,MAIL THEFT
2020,305,UNLAWFUL CARRYING WEAPON
2019,302,CRIMINAL TRESPASS/TRANSIENT
2020,300,THEFT OF TRAILER
2018,300,FAILURE TO IDENTIFY
2018,296,FELONY ENHANCEMENT/ASSLT W/INJ
2019,282,DRIVING WHILE INTOX / FELONY
2018,276,DRIVING WHILE INTOX / FELONY
2020,266,GRAFFITI
2018,263,THEFT FROM BUILDING
2018,261,GRAFFITI
2019,259,FAILURE TO IDENTIFY
2018,258,PROTECTIVE ORDER
2019,257,GRAFFITI
2019,253,UNLAWFUL CARRYING WEAPON
2018,251,DAMAGE CITY PROP
2018,249,DEL CONTROLLED SUB/NARCOTIC
2020,245,FELONY ENHANCEMENT/ASSLT W/INJ
2019,244,DOC FIGHTING
2020,243,EVADING VEHICLE
2019,236,FELONY ENHANCEMENT/ASSLT W/INJ
2019,236,DEL CONTROLLED SUB/NARCOTIC
2019,229,EVADING / FOOT
2019,226,EVADING VEHICLE
2018,225,DOC FIGHTING
2020,221,WARRANT ARREST NON TRAFFIC
2020,219,DRIVING WHILE INTOX / FELONY
2020,214,VIOL OF EMERG PROTECTIVE ORDER
2018,213,EVADING VEHICLE
2020,212,THEFT OF AUTO PARTS
2020,207,EVADING / FOOT
2020,206,DOC DISCHARGE GUN - PUB PLACE
2019,205,VIOL CITY ORDINANCE - WRECKER
2019,204,CRUELTY TO ANIMALS
2019,201,PUBLIC INTOX-SOBERING CENTER
2019,201,INDECENT EXPOSURE
2018,200,UNLAWFUL CARRYING WEAPON
2019,198,DEADLY CONDUCT
2019,196,DAMAGE CITY PROP
2018,191,THEFT OF AUTO PARTS
2019,190,PROTECTIVE ORDER
2018,189,VIOL OF EMERG PROTECTIVE ORDER
2020,188,DOC FIGHTING
2019,187,THEFT OF TRAILER
2020,184,INDECENT EXPOSURE
2018,184,EVADING / FOOT
2020,175,CRUELTY TO ANIMALS
2019,172,VIOL OF EMERG PROTECTIVE ORDER
2018,169,THEFT OF TRAILER
2018,164,CRUELTY TO ANIMALS
2019,164,POSS OF FIREARM BY FELON
2020,160,ASSAULT ON PUBLIC SERVANT
2018,159,INDECENT EXPOSURE
2018,159,DAMAGE CITY VEHICLE
2018,155,POSS SYNTHETIC MARIJUANA
2018,153,VIOL STATE LAW - OTHER
2018,148,DEADLY CONDUCT
2020,148,FAILURE TO IDENTIFY
2019,147,ASSAULT ON PUBLIC SERVANT
2019,147,DWI - DRUG RECOGNITION EXPERT
2018,146,INJURY TO CHILD
2020,144,DAMAGE CITY VEHICLE
2020,140,POSS OF FIREARM BY FELON
2018,139,CRIMINAL TRESPASS/TRANSIENT
2019,139,DAMAGE CITY VEHICLE
2019,139,RESISTING ARREST OR SEARCH
2018,137,CRED CARD ABUSE BY FORGERY
2020,133,PUBLIC INTOX-SOBERING CENTER
2020,132,INJ TO ELDERLY   FAM/DATE VIOL
2018,132,BREACH OF COMPUTER SECURITY
2019,129,INJURY TO CHILD
2018,125,ASSAULT ON PUBLIC SERVANT
2020,125,BREACH OF COMPUTER SECURITY
2018,121,DWI - DRUG RECOGNITION EXPERT
2019,118,ROBBERY BY THREAT
2018,117,FRAUD-CARD SKIMMER
2020,117,VIOL CITY ORDINANCE - WRECKER
2020,115,PROTECTIVE ORDER
2018,114,AIRPORT PLACES WEAPON PROHIBIT
2019,110,RECKLESS DAMAGE
2019,106,POSS SYNTHETIC MARIJUANA
2018,106,RESISTING ARREST OR SEARCH
2020,106,DOC DISPLAY GUN/DEADLY PUB PLC
2020,105,ROBBERY BY THREAT
2019,105,BREACH OF COMPUTER SECURITY
2020,105,RESISTING ARREST OR SEARCH
2020,104,DAMAGE CITY PROP
2019,104,INJ TO ELDERLY   FAM/DATE VIOL
2020,104,DOC EXPOSURE
2018,101,POSS OF FIREARM BY FELON
2018,100,INJ TO ELDERLY   FAM/DATE VIOL
2020,100,CUSTODY ARREST TRAFFIC WARR
2020,98,RECKLESS DAMAGE
2019,98,DOC DISCHARGE GUN - PUB PLACE
2020,97,VIOL CITY ORDINANCE - OTHER
2019,96,DOC EXPOSURE
2019,92,AGG ASSAULT WITH MOTOR VEH
2020,92,ONLINE IMPERSONATION
2018,89,POSS CONTROLLED SUB/SYN NARC
2020,88,EVADING / VEHICLE PURSUIT
2020,86,CRIMINAL TRESPASS/HOTEL
2020,86,ARSON
2019,84,COUNTERFEITING
2019,84,CRIMINAL TRESPASS/HOTEL
2020,84,INJURY TO CHILD
2018,83,RECKLESS DAMAGE
2019,83,DOC DISPLAY GUN/DEADLY PUB PLC
2019,82,AIRPORT PLACES WEAPON PROHIBIT
2019,82,CRED CARD ABUSE BY FORGERY
2018,81,PROSTITUTION
2018,81,CHILD ENDANGERMENT- ABANDONMEN
2019,81,EVADING / VEHICLE PURSUIT
2018,80,ROBBERY BY THREAT
2020,80,INDECENT ASSAULT
2018,80,AGG ASSAULT WITH MOTOR VEH
2018,80,DOC EXPOSURE
2019,79,BURGLARY OF COIN-OP MACHINE
2019,78,VIOL STATE LAW - OTHER
2020,77,AGG ASSAULT WITH MOTOR VEH
2019,76,POSS CONTROLLED SUB/SYN NARC
2018,76,ONLINE IMPERSONATION
2020,75,BURGLARY OF COIN-OP MACHINE
2018,73,EVADING / VEHICLE PURSUIT
2018,73,COUNTERFEITING
2019,71,POSS CONTROLLED SUB/OTHER
2020,71,DEL CONTROLLED SUB/NARCOTIC
2020,69,FORGERY BY MAKING
2020,69,FORGERY - OTHER
2020,69,VIOL STATE LAW - OTHER
2019,68,HARASSMENT OF A PUBLIC SERVANT
2019,68,ARSON
2020,67,DWI - DRUG RECOGNITION EXPERT
2018,66,DOC WINDOW PEEPING-RESIDENCE
2020,65,COUNTERFEITING
2018,65,STALKING
2018,65,AGG ASLT ENHANC STRANGL/SUFFOC
2020,65,THEFT OF METAL
2019,64,FRAUD-CARD SKIMMER
2018,64,THEFT OF METAL
2018,63,VIOL CITY ORDINANCE - DOG
2019,62,THEFT OF METAL
2018,62,POSS CONTROLLED SUB/OTHER
2020,62,POSS CONTROLLED SUB/SYN NARC
2018,61,DOC DISPLAY GUN/DEADLY PUB PLC
2019,61,FORGERY - OTHER
2018,61,POCKET PICKING
2019,60,FORGERY BY MAKING
2020,60,DOC DISCHARGE GUN - PUB ROAD
2018,58,DOC DISCHARGE GUN - PUB PLACE
2020,58,POSS CONTROLLED SUB/OTHER
2020,58,STALKING
2019,57,STALKING
2019,57,CHILD ENDANGERMENT- ABANDONMEN
2020,57,RENTAL CAR/FAIL TO RETURN
2018,55,CRIMINAL TRESPASS/HOTEL
2019,55,FEDERAL VIOL/OTHER
2020,55,PROSTITUTION
2019,55,INJURY DISABLED INDIVIDUAL
2019,54,EXPLOSIVE ORDNANCE DISPOSAL
2020,54,HARASSMENT OF A PUBLIC SERVANT
2020,53,DWI - CHILD PASSENGER
2018,53,FORGERY - OTHER
2018,53,ARSON
2020,53,AGG ASLT ENHANC STRANGL/SUFFOC
2019,53,ONLINE IMPERSONATION
2018,52,POSS/PROMO CHILD PORNOGRAPHY
2019,52,CRIMINAL TRESPASS/IN VEHICLE
2019,52,DOC WINDOW PEEPING-RESIDENCE
2020,51,CHILD ENDANGERMENT- ABANDONMEN
2020,51,DOC WINDOW PEEPING-RESIDENCE
2018,51,RENTAL CAR/FAIL TO RETURN
2018,50,INTERFERING W/EMERG PHONE CALL
2018,49,FALSE ALARM OR REPORT
2018,49,DWI - CHILD PASSENGER
2019,49,FALSE REPORT TO PEACE OFFICER
2018,48,EXPLOSIVE ORDNANCE DISPOSAL
2019,48,RENTAL CAR/FAIL TO RETURN
2018,48,FALSE REPORT TO PEACE OFFICER
2019,47,DWI - CHILD PASSENGER
2018,47,BURGLARY OF COIN-OP MACHINE
2020,47,ASSAULT OF PREGNANT WM-FAM/DAT
2019,47,AGG ASLT ENHANC STRANGL/SUFFOC
2018,46,HARASSMENT OF A PUBLIC SERVANT
2020,45,FALSE ALARM OR REPORT
2020,43,AIRPORT PLACES WEAPON PROHIBIT
2020,43,UNLAWFUL RESTRAINT
2019,42,CIVIL DISTURBANCE/DEMO
2018,42,UNLAWFUL RESTRAINT
2020,42,INTERFERING W/EMERG PHONE CALL
2019,42,PROSTITUTION
2020,41,POSS SYNTHETIC MARIJUANA
2018,41,POSS OF PROHIBITED WEAPON
2019,40,OBTAIN CONTROLLED SUB BY FRAUD
2019,40,POSS/PROMO CHILD PORNOGRAPHY
2019,39,INDECENT ASSAULT
2019,39,INTERFERING W/EMERG PHONE CALL
2020,39,INJURY DISABLED INDIVIDUAL
2018,38,BOMB THREAT
2018,38,VIOL CITY ORDINANCE - WRECKER
2020,37,MURDER
2019,37,UNLAWFUL RESTRAINT
2018,37,INJURY DISABLED INDIVIDUAL
2019,37,FALSE ALARM OR REPORT
2020,36,EXPLOSIVE ORDNANCE DISPOSAL
2020,36,VIOL OF BOND CONDITIONS
2020,36,VIOL CITY ORDINANCE - SOUND
2018,36,DOC DISCHARGE GUN - PUB ROAD
2018,36,FEDERAL VIOL/OTHER
2020,35,POSS DANG DRUG
2020,35,FALSE REPORT TO PEACE OFFICER
2019,34,POSS DANG DRUG
